text 1	text 2	text 3	text 4
dependable	믿을[신뢰할] 수 있는	아들 녀석이 제법 듬직하게 느껴진다.	.
devour	(특히 몹시 배가 고파서) 걸신 들린 듯 먹다	I saw a horse which got hurt devoured the way.	나는 상처 입은 말이 빨리 달려가는 것을 보았다.
lure	꾀다, 유혹하다	The child was lured into a car but managed to escape.	그 아이는 꾐에 빠져 어떤 차에 탔지만 용케 탈출했다.
judicious	신중한, 판단력 있는	명판사.	an able judge.
adapt	(새로운 용도・상황에) 맞추다[조정하다]	Most of these tools have been specially adapted for use by disabled people.	이 도구들 대부분은 장애인 분들이 사용하실 수 있도록 특별히 맞춰져 있습니다.
submit	(서류・제안서 등을) 제출하다	to submit an application/a claim/a complaint.	지원서/청구서/항의서를 제출하다.
resolve	(문제 등을) 해결하다	to resolve an issue/a dispute/a conflict/a crisis.	쟁점/분쟁/갈등/위기를 해결하다.
monk	수도자, 수도승	Benedictine/Buddhist monks.	베네딕트 수사/불교 수도승.
empower	권한을 주다	The courts were empowered to impose the death sentence for certain crimes.	법원은 특정 범죄들에 대해 사형을 부과할 수 있는 권한을 갖고 있었다.
sanguine	낙관적인, 자신감이 넘치는	They are less sanguine about the company's long-term prospects.	그 회사의 장기적인 전망에 대해서는 그들이 덜 낙관적이다.
prevail	만연[팽배]하다	We were horrified at the conditions prevailing in local prisons.	우리는 지역 교도소들에 만연한 상황에 소름이 끼쳤다.
refined	정제된, 제련된	refined sugar.	정제 설탕.
competent	능숙한	He's very competent in his work.	그는 자기 업무에 아주 능숙하다.
flake	(특히 다른 큰 것에서 떨어져 나온 얇은) 조각	flakes of snow/paint.	눈송이/페인트 조각.
gregarious	남과 어울리기 좋아하는, 사교적인	그녀는 사교적이다.	.
carnivorous	 육식성의;  식충성의		
distribute	(사람들에게) 나누어 주다, 분배[배부]하다	The organization distributed food to the earthquake victims.	그 단체에서 지진 피해자들에게 먹을 것을 나눠 주었다.
momentous	중대한	a momentous decision/event/occasion.	중대 결정/사건/행사.
confidential	비밀[기밀]의	confidential information/documents.	비밀 정보/기밀 서류.
assure	장담하다, 확언[확약]하다	You think I did it deliberately, but I assure you (that) I did not.	넌 내가 일부러 그랬다고 생각하지만, 네게 확실히 말하는데 그렇지 않아.
reprimand	질책하다	The officers were severely reprimanded for their unprofessional behaviour.	그 경찰관들은 전문가답지 못한 행동을 한 데 대해 심한 질책을 받았다.
deign	치사스럽지만[자기 격에 떨어지지만] 한다는 듯이 굴다	She just grunted, not deigning to look up from the page.	그녀는 그냥 툴툴거리기만 했다. (읽고 있던) 페이지에서 눈을 들어 쳐다보는 것도 자존심 상한다는 듯이.
legible	읽을[알아볼] 수 있는, 또렷한	legible handwriting.	또렷한 글씨.
amass	모으다, 축적하다	He amassed a fortune from silver mining.	그는 은광업으로 큰 재산을 모았다.
intimate	친(밀)한	intimate friends.	친한 친구들.
demonstrate	증거[실례]를 들어가며 보여주다, 입증[실증]하다	These results demonstrate convincingly that our campaign is working.	이들 결과는 우리 캠페인이 효과가 있음을 확실히 입증한다.
beat up	(게임・시합에서) 이기다	He beat me at chess.	그가 체스에서 나를 이겼다.
diagnosis	진단	diagnosis of lung cancer.	폐암 진단.
bilateral	쌍방의, 쌍무적인	bilateral relations/agreements/trade/talks.	쌍방 관계/합의/무역/회담.
compel	강요[강제]하다; (필요에 따라) …하게 만들다	The law can compel fathers to make regular payments for their children.	아버지가 자녀들을 위해 정기적으로 돈을 지불하도록 법으로 강제할 수 있다.
ambiguous	애매모호한, 여러 가지로 해석할 수 있는	an ambiguous word/term/statement.	애매모호한 단어/용어/진술.
fiasco	낭패	What a fiasco!.	이 무슨 낭패람!.
commiseration	(특히 시합에서 진 사람에 대한) 위로[동정]의 표현	I offered him my commiseration.	나는 그에게 위로의 말을 건넸다.
cozy		a cosy little room.	작고 아늑한 방.
investigate	(상황・사건・범죄 등에 대해) 수사[조사]하다, 살피다	The FBI has been called in to investigate.	연방수사국이 수사에 투입되었다.
deference	존중[경의](을 표하는 행동)	The women wore veils in deference to the customs of the country.	그 여성들은 그 나라의 관습을 존중하여 베일을 쓰고 있었다.
crave	갈망[열망]하다	She has always craved excitement.	그녀는 항상 자극을 갈망해 왔다.
frenzied	광분한, 광란한	a frenzied attack.	광분한 공격.
aberrant	도리를 벗어난, 일탈적인	aberrant behaviour.	도리를 벗어난 행동.
incalculable	헤아릴 수 없이 많은, 막대한	The oil spill has caused incalculable damage to the environment.	그 기름 유출은 환경에 막대한 해를 끼쳤다.
asset	자산(이 되는 사람・물건)	She'll be an asset to the team.	그녀는 팀의 자산이 될 것이다.
bolster	북돋우다, 강화[개선]하다	to bolster sb's confidence/courage/morale.	~의 자신감/용기/사기를 북돋우다.
bulky	부피가 큰[커서 옮기기 힘든]	Bulky items will be collected separately.	부피가 큰 품목들은 따로 모은다.
tease	(악의 없이 또는 악의적으로) 놀리다[장난하다], 지분[집적]거리다	Don't get upset—I was only teasing.	화내지 마. 그냥 장난으로 그런 거야.
liver	(인체의) 간	a fast liver.	방탕한 사람.
fickle	변덕스러운, 변화가 심한	The weather here is notoriously fickle.	이곳 날씨는 변덕스럽기로 악명 높다.
detach	(더 큰 것에서) 떼다[분리하다]; 분리되다	Detach the coupon and return it as soon as possible.	쿠폰을 떼어 내어 가능한 한 빨리 발송해 주세요.
cryptic	수수께끼 같은, 아리송한	a cryptic message/remark/smile.	수수께끼 같은 메시지/발언/미소.
precipitate	(특히 나쁜 일을) 촉발시키다	His resignation precipitated a leadership crisis.	그의 사임이 지도력 위기를 촉발시켰다.
foster	조성하다, 발전시키다	The club's aim is to foster better relations within the community.	그 클럽의 목적은 지역 사회 내에 더 나은 관계를 조성하는 것이다.
pervasive	만연하는, (구석구석) 스며[배어]드는	a pervasive smell of damp.	구석구석 배어드는 습한 냄새.
adventitious	우발적인, 우연한		
lukewarm	미지근한	Our food was only lukewarm.	우리 음식은 미지근하기만 했다.
deleterious	해로운, 유해한		
banal	지극히 평범한, 따분한, 시시한	진부한 표현.	a cliché.
blunder	(어리석은) 실수	to make a terrible blunder.	끔찍한 실수를 저지르다.
hospitable	(손님・방문객을) 환대하는, 친절한	The local people are very hospitable to strangers.	그 지역 사람들은 낯선 사람들에게 아주 친절하다.
monetary	통화[화폐]의	monetary policy/growth.	통화 정책/팽창.
delve	(무엇을 찾으려고 가방 등을) 뒤지다	She delved in her handbag for a pen.	그녀는 펜을 찾아 가방 속을 뒤졌다.
lenient	(처벌・규칙 적용이) 관대한	a lenient sentence/fine.	관대한 형량/벌금.
diffuse	널리 퍼진, 분산된	diffuse light.	분산된 빛.
barely	간신히, 가까스로, 빠듯하게	The music was barely audible.	그 음악은 간신히 들릴 정도였다.
crucial	중대한, 결정적인	a crucial factor/issue/decision.	중대한 요소/사안/결정.
spinach	시금치	시금치 한 단 주세요.	.
subsequent	그[이] 다음의, 차후의	subsequent generations.	그 다음 세대들.
nullify	(합의・명령 등을) 무효화하다	Judges were unwilling to nullify government decisions.	판사들은 정부 결정을 무효화하기를 꺼렸다.
revision	수정[정정] (사항)	He made some minor revisions to the report before printing it out.	그가 그 보고서를 인쇄하기 전에 사소한 것 몇 가지를 정정했다.
negligence	부주의, 태만; 과실	The accident was caused by negligence on the part of the driver.	그 사고는 운전자측의 부주의로 일어났다.
relegate	격하[좌천]시키다, (덜 중요한 위치로) 밀쳐 버리다	She was then relegated to the role of assistant.	그 뒤에 그녀는 조수 역할로 격하되었다.
presumptuous	주제넘은, 건방진	주제넘은 짓을 하다.	do sth presumptuous.
exaggerate	과장하다	The hotel was really filthy and I'm not exaggerating.	그 호텔은 정말 더러웠어. 과장이 아냐.
coerce	(협박하여) 강압하다[강제하다]	They were coerced into negotiating a settlement.	그들은 합의를 이끌어 내도록 강요받았다.
revenue	(정부・기관의) 수익[수입/세입]	a shortfall in tax revenue.	세입상의 적자.
figurehead	명목상의 최고위자	간판뿐인 사장.	.
allowance	용돈; (특정 목적을 위한) 비용[수당]	an allowance of $20 a day.	하루 20달러의 용돈.
fluctuate	변동[등락]을 거듭하다	fluctuating prices.	변동이 심한 물가.
apparel	(매장에서 판매되는) 의류	The store sells women's and children's apparel.	그 매장에서는 여성복과 아동복을 판다.
throe	[보통 pl.] 격통(激痛), 심한 고통	단말마의 고통으로 몸부림치다.	writhe in the throes of death.
impair	손상[악화]시키다	매를 아끼면 아이를 버린다.	.
ebullient	패기만만한, 사기가 충천한	The Prime Minister was in ebullient mood.	수상은 패기만만한 분위기였다.
contempt	경멸, 멸시	She looked at him with contempt.	그녀가 그를 경멸어린 눈초리로 쳐다보았다.
extinct	멸종된	an extinct species.	멸종된 종.
vigilant	바짝 경계하는, 조금도 방심하지 않는	A pilot must remain vigilant at all times.	조종사는 항상 경계를 게을리하지 않아야 한다.
collide	충돌하다, 부딪치다	The car and the van collided head-on in thick fog.	그 승용차와 밴은 짙은 안개 속에서 정면충돌을 했다.
galling	짜증나는, 화나는	It was galling to have to apologize to a man she hated.	그녀가 싫어하는 남자에게 사과를 해야 한다는 것은 짜증스러운 일이었다.
profound	(영향・느낌・경험 등이) 엄청난[깊은]	profound changes in the earth's climate.	지구 기후의 엄청난 변화.
gingerly	조심조심	He opened the box gingerly and looked inside.	그는 상자를 조심조심 열고 안을 들여다보았다.
wane	약해지다, 줄어들다, 시들해지다	Her enthusiasm for the whole idea was waning rapidly.	그 아이디어 전체에 대한 그녀의 열의는 급속히 시들해졌다.
circulate	순환하다; 순환시키다	The condition prevents the blood from circulating freely.	그 질환은 자유로운 혈액 순환을 방해한다.
acclaim	칭송하다, 환호를 보내다	a highly/widely acclaimed performance.	크게/널리 환호를 받은 공연.
tenacious	집요한, 완강한; 결연한	a tenacious grip.	완강하게 움켜잡은 손아귀[완강한 손아귀].
tedious	지루한, 싫증나는	The journey soon became tedious.	그 여정은 곧 지루해졌다.
transitory	일시적인, 덧없는	the transitory nature of his happiness.	그의 행복의 덧없는 속성.
bombshell	(불쾌한) 폭탄선언, 몹시 충격적인 일[소식]	The news of his death came as a bombshell.	그의 사망 소식은 몹시 충격적으로 다가왔다.
avaricious	탐욕스러운, 욕심 많은(greedy)	탐욕스런 생각을 하다.	think greedy[covetous] thoughts.
sentient	지각이 있는	Man is a sentient being.	인간은 지각이 있는 존재이다.
faint	(빛・소리・냄새 등이) 희미한[약한]	a faint glow/glimmer/light.	희미한 빛.
aperture	(작은) 구멍	조리개를 열다.	open the aperture[iris].
atrophy	(혈액 부족으로 인한 신체 부위의) 위축(증)	The cultural life of the country will sink into atrophy unless more writers and artists emerge.	작가와 예술가들이 더 등장하지 않으면 국가의 문화생활이 위축될 것이다.
secular	세속적인	secular music.	세속적인 음악.
scrutinize	세심히 살피다, 면밀히 조사[검토]하다	She leaned forward to scrutinize their faces.	그녀가 앞으로 몸을 숙이고 그들의 얼굴을 세심히 살폈다.
codify	(법률 등을) 성문화하다	to break/crack a code.	암호를 풀다[해독하다].
benign	상냥한, 유순한	인자한 미소.	a benevolent smile.
prerogative	특권, 특혜	In many countries education is still the prerogative of the rich.	많은 나라들에서는 교육이 아직도 부자들의 특권이다.
sibling	(한 명의) 형제자매[동기]	squabbles between siblings.	형제[동기] 간의 싸움.
succulent	즙이 많은	a succulent pear / steak.	즙[물]이 많은 배/육즙이 많은 스테이크.
panacea	(비유적인 의미의) 만병통치약		
amenity	생활 편의 시설	The campsite is close to all local amenities.	그 캠프장은 지역의 모든 편의 시설과 가깝다.
acquit	무죄를 선고하다	The jury acquitted him of murder.	배심원단이 그의 살인 혐의에 대해 무죄를 선언했다.
prosaic	평범한, 상상력이 없는	a prosaic style.	평범한 스타일.
compound	복합체	compound a medicine.	약을 조제하다.
contradict	(어떤 사람의 말을) 부정[부인]하다, 반박하다	All evening her husband contradicted everything she said.	저녁 내내 그녀의 남편은 그녀가 하는 모든 말을 반박했다.
collapse	붕괴되다, 무너지다	The roof collapsed under the weight of snow.	지붕이 눈의 무게를 못 이기고 내려앉았다.
fracture	골절 (부위); 균열, (갈라진) 금	a fracture of the leg / skull.	다리/두개골 골절.
impetuous	성급한, 충동적인	an impetuous young woman.	충동적인 젊은 여성.
fanatic	(…에) 광적인 사람	a fitness/crossword, etc. fanatic.	몸매[건강] 관리/십자말 퍼즐 등에 광적인 사람.
interrupt	(말・행동을) 방해하다[중단시키다/가로막다]	Sorry to interrupt, but there's someone to see you.	방해해서 죄송해요. 어떤 분이 찾아왔어요.
viable	실행 가능한, 성공할 수 있는	a viable option/proposition.	실행 가능한 선택안/계획.
relevant	(논의 중인 주제・생각하는 상황과 밀접하게) 관련 있는, 적절한	a relevant suggestion / question / point.	적절한 제안/질문/포인트.
pragmatic	실용적인	a pragmatic approach to management problems.	경영[관리]상의 문제들에 대한 실용적인 접근법들.
disappoint	실망시키다, 실망을 안겨 주다	Her decision to cancel the concert is bound to disappoint her fans.	그녀의 그 콘서트 취소 결정은 틀림없이 팬들에게 실망을 안겨 줄 것이다.
brink	(아주 새롭거나 위험하거나 흥미로운 상황이 발생하기) 직전	on the brink of collapse/war/death/disaster.	붕괴/전쟁/사망/재난 직전인.
exhortation	[U] 간곡한 권고, 장려; 경고, 훈계	The party leader exhorted his members to start preparing for government.	그 당 대표는 당 구성원들에게 정권을 잡을 준비를 시작할 것을 촉구했다.
indigenous	(어떤 지역) 원산의[토착의]	the indigenous peoples/languages of the area.	그 지역 토착민들/토착 언어들.
attribute	(~을 …의) 결과로[덕분으로] 보다	She attributes her success to hard work and a little luck.	그녀는 자신의 성공을 성실한 노력에 약간의 행운이 따른 결과로 본다.
contagious	(접촉을 통해) 전염되는, 전염성의	Scarlet fever is highly contagious.	성홍열은 대단히 전염성이 강하다.
fallacious	잘못된, 틀린	a fallacious argument.	잘못된 주장.
intrinsic	고유한, 본질적인	the intrinsic value of education.	교육의 고유한[본질적인] 가치.
courier	운반[배달]원; 택배 회사	We sent the documents by courier.	우리는 그 서류를 배달원을 통해 보냈다.
rebuke	힐책[질책]하다, 꾸짖다	The company was publicly rebuked for having neglected safety procedures.	그 회사는 안전 규정 소홀로 공개적인 질책을 받았다.
nervous	불안해[초조해/두려워] 하는	Consumers are very nervous about the future.	소비자들은 미래에 대해 몹시 불안해한다.
bent	구부러진, 휜	a piece of bent wire.	구부러진 철사 한 조각.
embrace	(껴)안다, 포옹하다	They embraced and promised to keep in touch.	그들은 서로 껴안으며 계속 연락하기로 약속했다.
black out	검은	a shiny black car.	반짝거리는 검은색 승용차.
curtail	축소[삭감/단축]시키다	Spending on books has been severely curtailed.	도서 구입비가 대폭 삭감되었다.
obsolete	더 이상 쓸모가 없는, 한물간, 구식의	obsolete technology.	한물간 기술.
atrocity	(특히 전시의) 잔혹 행위	She speaks French with an atrocious accent.	그녀는 형편없는 발음으로 프랑스어를 한다[그녀의 프랑스어 발음은 형편없다.].
restrain	(특히 물리력을 동원하여) 저지[제지]하다	The prisoner had to be restrained by the police.	그 죄수[재소자]는 경찰이 저지를 해야 했다.
enormous	막대한, 거대한	an enormous house / dog.	거대한 주택/개.
evoke	(감정・기억・이미지를) 떠올려 주다[환기시키다]	The music evoked memories of her youth.	그 음악을 들으니 그녀는 젊은 날의 추억이 떠올랐다.
compatible	호환이 되는	compatible software.	호환이 되는 소프트웨어.
prolong	연장시키다, 연장하다	The operation could prolong his life by two or three years.	그 수술은 그의 생명을 2, 3년 연장시킬 수 있을 것이다.
adept	능숙한	He is widely regarded as Hungary's most skilful politician.	
frivolous	경솔한, 바보 같은; 까부는	frivolous comments/suggestions.	경솔한 논평/제안.
stringent	엄중한	stringent air quality regulations.	엄중한 대기의 질 관련 규정.
chronic	만성적인	chronic bronchitis / arthritis / asthma.	만성 기관지염/관절염/천식.
indelible	잊을[지울] 수 없는	The experience made an indelible impression on me.	그 경험은 나에게 잊을 수 없는 각인을 남겼다.
edible	먹을 수 있는, (독이 없어서) 먹어도 되는[식용의]	The food at the hotel was barely edible.	그 호텔의 음식은 간신히 먹을 만한 정도였다.
veer	방향을 홱 틀다[바꾸다]	The bus veered onto the wrong side of the road.	그 버스가 방향을 홱 틀며 (제 길에서 벗어나) 도로 반대쪽으로 들어갔다.
loquacious	말이 많은		
furtive	은밀한; 엉큼한	She cast a furtive glance over her shoulder.	그녀가 자기 어깨 뒤쪽으로 은밀히 시선을 던졌다.
counteract	(무엇의 악영향에) 대응하다	These exercises aim to counteract the effects of stress and tension.	이 운동들은 스트레스와 긴장감이 초래하는 영향을 해소하는 데 목적이 있다.
analogous	유사한	Sleep has often been thought of as being in some way analogous to death.	수면은 어떤 면에서 죽음과 유사한 것으로 흔히 생각되어져 왔다.
intervene	(상황 개선을 돕기 위해) 개입하다	The President intervened personally in the crisis.	대통령이 직접 그 위기 사태에 개입했다.
omniscient	모든 것을 다 아는, 전지의	The novel has an omniscient narrator.	그 소설에는 전지적 시점의 화자가 나온다[그 소설은 전지적 화자 시점에서 쓰였다].
leftover	(식사 후에) 남은 음식	라면 국물에 찬밥을 말아 먹다.	.
adjacent	인접한, 가까운	The planes landed on adjacent runways.	그 비행기들은 가까운 활주로에 착륙했다.
distill		( distill+[목]+[전]+[명] ) distill freshwater from seawater = distill seawater into freshwater.	바닷물을 증류해서 민물로 만들다.
nocturnal	야행성의	몽정을 하다.	have a wet dream.
addict	(약물 등의) 중독자	a heroin/drug/nicotine addict.	헤로인/약물/니코틴 중독자.
salvage	(특히 재난・사고로부터 재화의) 구조, (침몰선의) 인양	the salvage of the wrecked tanker.	조난당한 유조선 구조.
abridge	(책・희곡 등을) 요약[축약]하다		
hypodermic	피하 주사기	피하주사를 놓다.	inject (medicine) beneath the skin.
infinite	(수량이) 무한한[무한정의]	an infinite variety of plants.	무한히 다양한 식물들.
fortify	(특히 높은 성벽을 쌓아) 요새화하다	a fortified town.	요새화한 도시.
repeal	(법률을) 폐지하다	사형 제도를 폐지하다.	.
permeation	침투, 삼투; 충만	The smell of leather permeated the room.	가죽 냄새가 방 안에 스며 있었다.
sluggish	느릿느릿 움직이는; 부진한	sluggish traffic.	느릿느릿 움직이는 자동차들.
stem	(식물의) 줄기	고구마 줄기를 볶다.	fry sweet potato stems.
bizarre	기이한, 특이한	a bizarre situation / incident / story.	기이한 상황/사건/이야기.
autonomous	자주적인, 자치의	an autonomous republic/state/province.	자주 공화국/자주 국가/자치 주/자치 지역.
accept	(기꺼이) 받아들이다	He asked me to marry him and I accepted.	그가 나에게 자기와 결혼해 달라고 해서 난 그러겠다고 했다.
recuperate	(건강・원기를) 회복하다[되찾다]	He's still recuperating from his operation.	그는 수술을 받고 아직도 회복 중이다.
presume	(실질적인 증거는 없지만 사실일 것이라고) 추정하다[여기다/생각하다]	They are very expensive, I presume?.	(추정컨대) 그것들은 아주 비싸겠죠?.
tolerance	용인, 관용, 아량	She had no tolerance for jokes of any kind.	그녀는 어떤 종류의 농담도 용인하지 않았다.
frugal	절약하는	a frugal existence/life.	절약하는 생활.
unrelenting	끊임없는, 수그러들 줄 모르는	unrelenting pressure.	끊임없는 압박.
disparity	(특히 한쪽에 불공평한) 차이	the wide disparity between rich and poor.	빈부간의 큰 격차.
imperceptible	(너무 작아서) 감지할 수 없는	imperceptible changes in temperature.	감지할 수 없는 기온 변화.
evince	(감정・특질을) 분명히 밝히다[피력하다]	He evinced a strong desire to be reconciled with his family.	그는 가족과 화해하고픈 강한 바람을 피력했다.
travesty	(…의) 졸렬한 모방[모조품]	The trial was a travesty of justice.	그 재판은 정의의 졸렬한 모방에 불과했다.
acerbate	시게[떫게] 하다; 화나게 하다		
concert	연주회, 콘서트	a concert of music by Bach.	바흐 음악 연주회.
differentiate	구별하다	It's difficult to differentiate between the two varieties.	그 두 변이형은 구별하기가 어렵다.
decelerate	(차량의) 속도를 줄이다	차를 시속 20킬로미터로 감속하다.	.
vulnerable	(~에) 취약한, 연약한(신체적・정서적으로 상처받기 쉬움을 나타냄)	to be vulnerable to attack.	공격에 취약하다.
impregnable	난공불락의	an impregnable fortress.	난공불락의 요새.
desert	사막	the Sahara Desert.	사하라 사막.
futile	헛된, 소용없는	a futile attempt/exercise/gesture.	헛된 시도/연습/몸짓.
debacle	대실패, 큰 낭패	It was the second air disaster in the region in less than two months.	
evacuate	(위험 지역에서 사람들을) 대피[소개(疏開)]시키다	Police evacuated nearby buildings.	경찰이 인근 건물들을 소개시켰다.
trigger	(총의) 방아쇠	to pull/squeeze the trigger.	방아쇠를 당기다.
enthrall	마음을 사로잡다	The child watched, enthralled by the bright moving images.	그 아이는 밝게 움직이는 이미지들에 온통 마음을 빼앗긴 채 바라보았다.
gem	보석	a crown studded with gems.	보석들이 박힌 왕관.
proceed	(이미 시작된 일을[이] 계속) 진행하다[되다]	We're not sure whether we still want to proceed with the sale.	우리가 아직도 그 매매를 계속 진행하고 싶은지는 잘 모르겠다.
imminent	금방이라도 닥칠 듯한, 목전의, 임박한	the imminent threat of invasion.	목전의 침략 위협.
dilapidate	 헐다, 헐어지다; 황폐케 하다[해지다]; [고어]  탕진하다; 낭비하다(squander)		
decline	(수・가치・품질 등의 지속적인) 감소[하락/축소]	a rapid/sharp/gradual decline.	급속한/급격한/완만한 감소[하락].
efficient	능률적인, 유능한; 효율적인	an efficient secretary.	유능한 비서.
impact	(강력한) 영향, 충격	the environmental impact of tourism.	관광이 환경에 미치는 영향.
complimentary	무료의	complimentary tickets for the show.	그 쇼의 무료 티켓[초대권].
orbit	궤도	the earth's orbit around the sun.	태양 주위의 지구 궤도.
famine	기근	a severe famine.	심각한 기근.
evaporate	(액체가[를]) 증발하다[시키다]	Heat until all the water has evaporated.	수분이 모두 증발할 때까지 열을 가하라.
supplant	(특히 낡거나 구식이 된 것을) 대신[대체]하다	중간 고사는 리포트로 대체할 것이다.	.
assess	(특성・자질 등을) 재다[가늠하다]	It's difficult to assess the effects of these changes.	이들 변화의 영향을 가늠하기는 어렵다.
hamlet	아주 작은 마을	열 채 남짓한 집들이 하나의 촌락을 이루고 있었다.	.
complacent	현실에 안주하는, 자기만족적인	a dangerously complacent attitude to the increase in unemployment.	실업률 증가에 대해 위험할 정도로 현실 안주적인 태도.
capacity	용량; 수용력	The theatre has a seating capacity of 2000.	그 극장은 수용 인원이 2천 명이다.
eminent	저명한	an eminent architect.	저명한 건축가.
aggravate	(질병이나 좋지 못한 상황을) 악화시키다	Pollution can aggravate asthma.	공해가 천식을 악화시킬 수 있다.
devaluate			
callous	냉담한	a callous killer/attitude/act.	냉담한 살인자/태도/행동.
atheist	무신론자		
enforce	(법률 등을) 집행[시행/실시]하다	It's the job of the police to enforce the law.	법을 집행하는 것이 경찰이 할 일이다.
anachronism	시대착오적인 사람[관습/생각]	The monarchy is seen by many people as an anachronism in the modern world.	현대 세상에서는 많은 사람들이 군주제를 시대착오적인 것으로 여긴다.
evolve	(점진적으로) 발달[진전]하다[시키다]	The idea evolved from a drawing I discovered in the attic.	그 아이디어는 내가 다락방에서 발견한 한 장의 그림에서 진전된 것이다.
striking	눈에 띄는, 두드러진, 현저한	a striking feature.	두드러진 특징.
merge	합병[병합]하다, 합치다	The banks are set to merge next year.	그 은행들은 내년에 합병하기로 되어 있다.
brevity	간결성	The report is a masterpiece of brevity.	그 보고서는 간결성의 극치를 보여준다.
commensurate	(크기・중요도・자질 등에) 어울리는[상응하는]	Salary will be commensurate with experience.	보수는 경력에 상응하여 지불된다.
discrepancy	(같아야 할 것들 사이의) 차이[불일치]	wide discrepancies in prices quoted for the work.	그 작업에 대해 제시된 가격들 사이의 큰 차이.
tenuous	미약한, 보잘것없는	a tenuous hold on life.	미약하게 삶을 지탱하고[움켜잡고] 있는 의지.
entrepreneur	(특히 모험적인) 사업가[기업가]	그는 큰 공장을 경영하는 실업가다.	.
ignominious	수치스러운, 창피한	an ignominious defeat.	수치스러운 패배.
jaundiced	(특히 과거의 경험 때문에) …을 좋지 않게[비뚤어진 시선으로] 보는	He had a jaundiced view of life.	그는 삶에 대해 비뚤어진 생각을 갖고 있었다.
genocide	집단[종족] 학살	난징대학살.	the Nanjing Massacre.
opposite	(보통 마주 보고 있는 둘 중) 다른 편[쪽]의[건너편의]	Answers are given on the opposite page.	해답은 다른 쪽[옆] 페이지에 제시되어 있다.
maul	(사람을 공격하여 살을 찢는) 상처를 입히다	돼지갈비에 양념을 넣어 주물럭거리다.	.
libel	(문서에 의한) 명예훼손	He sued the newspaper for libel.	그는 그 신문사를 명예훼손으로 고소했다.
sporadic	산발적인, 이따금 발생하는	sporadic fighting/gunfire/violence, etc.	산발적인 전투/포격/이따금 발생하는 폭력 사태 등.
plagiarism	표절	There were accusations of plagiarism.	(여러 차례의) 표절 혐의가 제기되었다.
incapacitate	(질병 등이) 정상적인 생활을 하지 못하게 만들다		
expire	만료되다, 만기가 되다	When does your driving licence expire?.	당신 운전 면허증의 유효 기한이 언제예요?.
delinquent	비행의, 범죄 성향을 보이는	delinquent teenagers.	비행 십대들.
accuse	고발[기소/비난]하다, 혐의를 제기하다	to accuse sb of murder / theft.	…를 살인/절도 혐의로 기소하다.
exonerate	무죄임[책임이 없음]을 밝혀 주다	The police report exonerated Lewis from all charges of corruption.	그 경찰 보고서로 루이스는 모든 부패 혐의를 벗게 되었다.
claustrophobic	밀실 공포증을 앓는[느끼게 하는]	the claustrophobic atmosphere of the room.	밀실 공포증을 느끼게 하는 그 방의 분위기.
descry	(불현듯) 보게 되다		
corrosive	부식을 일으키는, 부식성의	the corrosive effects of salt water.	소금물의 부식 효과.
initially	처음에	Initially, the system worked well.	처음에는 그 시스템이 잘 운영되었다.
inactive	활동하지 않는; 활발하지 않은, 소극적인	Some animals are inactive during the daytime.	일부 동물은 낮 동안에는 활동을 하지 않는다.
anthropology	인류학	인류학자.	an anthropologist.
flaw	(사물의) 결함	The argument is full of fundamental flaws.	그 주장은 많은 근본적인 결함들을 안고 있다.
harsh	가혹한, 냉혹한	The punishment was harsh and unfair.	그 처벌은 가혹하고 부당했다.
disqualify	자격을 박탈하다, 실격시키다	He was disqualified from the competition for using drugs.	그는 약물 사용으로 그 시합에서 실격당했다.
insignificance	무의미, 무가치; 사소한 일, 하찮음	an insignificant difference.	사소한 차이.
disciplinary	징계의	a disciplinary hearing.	징계 청문회.
simultaneously	동시에 ((with)); 일제히	There were several simultaneous attacks by the rebels.	반군들로부터 몇 건의 동시 공격이 있었다.
potent	(사람의 심신에 미치는 영향이) 강한[강력한]	a potent drug.	효능이 강한 약.
hail	(특히 신문 등에서 아주 훌륭하거나 특별한 것으로) 묘사하다[일컫다]	The conference was hailed as a great success.	그 대회는 대성공작으로 묘사되었다.
all thumb	모든	All horses are animals, but not all animals are horses.	모든 말은 동물이다. 하지만 모든 동물이 말은 아니다.
feasible	실현 가능한	a feasible plan / suggestion / idea.	(실현) 가능한 계획/제안/생각.
fake	가짜의, 거짓된	fake designer clothing.	가짜[짝퉁] 유명 디자이너 의류.
congenia		[형용사].	
harness	마구(馬具)	Critics claim he exploited black musicians for personal gain.	
acquiesce	묵인하다	Senior government figures must have acquiesced in the cover-up.	정부 고위 공직자들이 그 은폐 공작을 묵인했음이 분명하다.
discharge	(어떤 장소나 직무에서) 떠나는 것을 허락하다; 해고하다	Patients were being discharged from the hospital too early.	환자들을 병원에서 너무 빨리 퇴원시키고 있었다.
dissipate	소멸되다; 소멸하다[시키다]	Eventually, his anger dissipated.	마침내 그의 분노가 소멸되었다.
contribute	기부[기증]하다	We contributed ￡5000 to the earthquake fund.	우리는 그 지진 사태에 대한 성금으로 5천 파운드를 기부했다.
coverage	(신문・텔레비전・라디오의) 보도[방송]	media/newspaper/press coverage.	언론/신문/신문・잡지의 보도.
forthright	솔직 담백한	a woman of forthright views.	솔직 담백한 태도를 지닌 여성.
